Metagenome sample,Phylum,Class,count
zr2760_79,Acantharea,Acantharea,7.121594097622812e-05
zr2760_79,Actinophryidae,Actinophryidae,1.4243188195245624e-05
zr2760_79,Annelida,Clitellata,0.0002991069521001581
zr2760_79,Annelida,Polychaeta,0.0014100756313293167
zr2760_79,Annelida,Sipuncula,1.4243188195245624e-05
zr2760_79,Apicomplexa,Aconoidasida,0.004087795012035494
zr2760_79,Apicomplexa,Conoidasida,0.005326952385021864
zr2760_79,Arthropoda,Arachnida,0.0066515688871797065
zr2760_79,Arthropoda,Branchiopoda,0.001666453018843738
zr2760_79,Arthropoda,Chilopoda,1.4243188195245624e-05
zr2760_79,Arthropoda,Collembola,0.0007264025979575268
zr2760_79,Arthropoda,Diplopoda,1.4243188195245624e-05
zr2760_79,Arthropoda,Hexanauplia,0.0034326083550541954
zr2760_79,Arthropoda,Insecta,0.0322180916976456
zr2760_79,Arthropoda,Malacostraca,0.006153057300346109
zr2760_79,Arthropoda,Merostomata,0.00027062057570966685
zr2760_79,Arthropoda,Ostracoda,0.00572576165448874
zr2760_79,Arthropoda,Pycnogonida,0.011864575766639605
zr2760_79,Arthropoda,Remipedia,1.4243188195245624e-05
zr2760_79,Arthropoda,Symphyla,2.848637639049125e-05
zr2760_79,Arthropoda,Thecostraca,0.0014243188195245623
zr2760_79,Arthropoda,unknown,8.545912917147374e-05
zr2760_79,Ascomycota,Archaeorhizomycetes,1.4243188195245624e-05
zr2760_79,Ascomycota,Arthoniomycetes,0.000113945505561965
zr2760_79,Ascomycota,Dothideomycetes,0.0077482943782136195
zr2760_79,Ascomycota,Eurotiomycetes,0.007093107721232321
zr2760_79,Ascomycota,Geoglossomycetes,0.00015667507014770186
zr2760_79,Ascomycota,Lecanoromycetes,0.0006694298451765443
zr2760_79,Ascomycota,Leotiomycetes,0.0028201512626586335
zr2760_79,Ascomycota,Neolectomycetes,2.848637639049125e-05
zr2760_79,Ascomycota,Orbiliomycetes,0.0004985115868335968
zr2760_79,Ascomycota,Pezizomycetes,0.001096725491033913
zr2760_79,Ascomycota,Pneumocystomycetes,0.00014243188195245624
