Phylum,Slope,R-squared-value
Prasinodermophyta,-32.86488954,0.009083878
Endomyxa,-32.29905278,0.011397724
Choanoflagellata,-5.838741236,0.089361202
Pinguiophyceae,-5.00563719,0.057518507
Nematoda,-4.702660377,0.294453174
Bolidophyceae,-3.829390713,0.131379554
Placozoa,-2.269195579,0.121490535
Cnidaria,-1.405788713,0.01754534
Chaetognatha,-1.237124977,0.003298159
Mollusca,-1.114895852,0.304667991
Phaeophyceae,-0.862870793,1
Basidiomycota,-0.465608936,0.01084567
Bacillariophyta,-0.083141328,0.010240625
Annelida,-0.004211832,0.000187901
Rhodophyta,-0.002896232,0.013032861
Ascomycota,-3.21E-05,0.009526438
Arthropoda,0,0
Synurophyceae,0,0
Porifera,0,0
Ctenophora,0,0
Eustigmatophyceae,0,0
Raphidophyceae,0,0
Chordata,0,0
Bigyra,0,0
Mucoromycota,0,0
Streptophyta,0,0
Cercozoa,0,0
Euglenozoa,0,0
Foraminifera,0,0
Ichthyosporea,0,0
Olpidiomycota,0,0
Tardigrada,0,0
Tubulinea,0,0
Xanthophyceae,0,0
Zoopagomycota,0,0
Platyhelminthes,0.000223073,0.004522699
Cryptophyceae,0.00231607,0.012302054
Perkinsozoa,0.007272318,0.010590605
Chlorophyta,0.014655525,0.002481211
Oomycota,0.017339882,0.001031932
Pelagophyceae,0.01771108,0.014911623
Blastocladiomycota,0.051605603,0.000513344
Apicomplexa,0.074314218,0.176859241
Rotifera,0.075233577,0.071830784
Dictyochophyceae,0.139918784,0.004204494
Picozoa,0.239212633,0.004193837
Chrysophyceae,0.639927459,0.406701153
Haptophyta,0.966793519,0.123836516
Bryozoa,1.124703813,0.290311167
Discosea,4.114976439,0.078991621
Ciliophora,8.199942782,0.07355455
Chytridiomycota,8.736217697,0.051116242
Imbricatea,19.64086859,1
Dinophyta,96.30722514,0.032290497
Echinodermata,160.42294,1
,,
AVERAGE,3.8,0.098986784
MAX,160.42294,1
MIN,-32.86489,0
