ID,Total Length (bp)
4829.0,48746359.0
64641.0,34898111.0
58291.0,49238270.0
979765.0,44794830.0
979697.0,38094170.0
4840.0,25635528.0
760013.0,39322312.0
101128.0,28063969.0
101107.0,26215609.0
64632.0,29202882.0
60185.0,47605836.0
64523.0,36204870.0
1213867.0,65111457.0
90253.0,34232935.0
64524.0,51558230.0
91625.0,22055682.0
2583354.0,47594588.0
97098.0,48371435.0
101123.0,34772712.0
101097.0,38209812.0
35722.0,44910645.0
60492.0,295993657.0
2583358.0,47953259.0
1348616.0,293538873.0
1316150.0,181573699.0
979690.0,42943035.0
1343614.0,37458562.0
64574.0,30409402.0
1117311.0,132883342.0
588596.0,138327084.0
4850.0,37513922.0
118614.0,170598938.0
90267.0,34328230.0
2779863.0,44900159.0
2570299.0,26755803.0
64525.0,39027290.0
979670.0,39630382.0
4846.0,29727802.0
101117.0,26235891.0
2583360.0,46408055.0
101096.0,33585628.0
2583359.0,56332687.0
979620.0,38407782.0
1117310.0,146162978.0
1195481.0,54179589.0
64647.0,34171183.0
1196560.0,57697485.0
2823925.0,48384723.0
1440133.0,43601575.0
708070.0,40235064.0
688661.0,37534108.0
64656.0,50638590.0
101091.0,29096908.0
4874.0,773098546.0
4841.0,53248052.0
90255.0,28120762.0
64522.0,49262965.0
44941.0,567860885.0
101115.0,38198483.0
2583362.0,47841626.0
562976.0,32727348.0
105697.0,1994051.0
2583357.0,44962020.0
979712.0,35304070.0
743927.0,38084239.0
101098.0,36027825.0
101103.0,51270100.0
91626.0,40737472.0
85575.0,147042245.0
979708.0,46054087.0
94023.0,218774155.0
29922.0,46086937.0
144539.0,50060206.0
604196.0,48115323.0
1938954.0,19478880.0
42458.0,35418858.0
1897645.0,38988710.0
50956.0,128319586.0
94130.0,116418735.0
979761.0,40535554.0
1343610.0,37568403.0
2650738.0,98955991.0
155726.0,31944560.0
101142.0,34252226.0
36080.0,35338886.0
936053.0,43016560.0
64631.0,32504669.0
310910.0,46924169.0
658196.0,136820789.0
90262.0,47422896.0
101127.0,27216191.0
41804.0,32627605.0
1348612.0,156576535.0
2583365.0,48348398.0
64571.0,42768949.0
269771.0,48981352.0
29924.0,36817399.0
64567.0,46051948.0
1433469.0,435082676.0
78898.0,42068474.0
101105.0,33012461.0
64518.0,37282625.0
679940.0,34079843.0
101130.0,39778020.0
2733465.0,43508936.0
324621.0,179668311.0
64495.0,42900422.0
979702.0,38208522.0
2583364.0,47344573.0
205924.0,38886072.0
979699.0,32913551.0
101121.0,29570904.0
311239.0,40418669.0
44442.0,23182286.0
144679.0,197202035.0
994334.0,231316372.0
2583363.0,45155991.0
27376.0,299808427.0
979673.0,37827324.0
86630.0,39022965.0
979688.0,41421736.0
27381.0,145719962.0
984092.0,69898350.0
144538.0,58473107.0
64648.0,39171786.0
13706.0,30745403.0
76405.0,29002410.0
688394.0,31885420.0
655665.125,73389084.421875
,9393802806.0
