Metagenome sample,euk_ORF_count,prok_ORF_count,total_ORF_count,euk_ORF_percent,prok_ORF_percent
D0052A_S1,193109,8777347,8970456,0.021527222250463076,0.9784727777495369
D0053A_S2,114318,10104581,10218899,0.011186919451890072,0.9888130805481099
D0057A_S3,284283,5700594,5984877,0.04750022431538693,0.9524997756846131
D0058A_S4,312797,7070834,7383631,0.04236357423603644,0.9576364257639636
D0063A_S5,141454,9691435,9832889,0.01438580258558802,0.985614197414412
D0064A_S6,96002,8294355,8390357,0.01144194460378742,0.9885580553962126
D0068A_S7,280162,4279411,4559573,0.06144478879930204,0.938555211200698
D0069A_S8,272755,3768725,4041480,0.06748889020853746,0.9325111097914626
D0073A_S9,168419,7812454,7980873,0.021102829226827692,0.9788971707731723
D0074A_S10,102419,8570560,8672979,0.011808975900898641,0.9881910240991013
D0078A_S11,254030,10328583,10582613,0.024004468461617183,0.9759955315383828
D0079A_S12,243811,8497167,8740978,0.027892874229863064,0.9721071257701369
D0085A_S13,29564,4905743,4935307,0.005990306175482092,0.9940096938245179
D0089A_S15,327490,4863142,5190632,0.06309250973677194,0.9369074902632281
D0090A_S16,323647,5194915,5518562,0.05864698086204341,0.9413530191379565
D0096A_S18,94715,8415597,8510312,0.01112943920269903,0.988870560797301
D0100A_S19,356469,3769147,4125616,0.08640382430163156,0.9135961756983685
D0101A_S20,416023,5015423,5431446,0.07659525658544704,0.9234047434145529
D0105A_S21,19145,4580506,4599651,0.004162272311529723,0.9958377276884702
D0107A_S22,93352,7798980,7892332,0.011828189690955728,0.9881718103090442
D0110A_S23,501958,8914157,9416115,0.05330839735920812,0.9466916026407919
D0111A_S24,342997,6752564,7095561,0.04833965911927189,0.9516603408807282
D0116A_S25,197340,8311619,8508959,0.023192026192628265,0.9768079738073717
D0117A_S26,219031,9228925,9447956,0.023182897972852543,0.9768171020271474
D0121A_S27,449324,6625809,7075133,0.06350749872829246,0.9364925012717076
D0122A_S28,471913,5943204,6415117,0.07356264897428995,0.92643735102571
D0127A_S29,108951,8261977,8370928,0.013015402832278571,0.9869845971677215
D0128A_S30,93581,8999835,9093416,0.010291072133948342,0.9897089278660517
D0132A_S31,582641,4879793,5462434,0.10666325670937168,0.8933367432906283
D0133A_S32,485341,4063920,4549261,0.10668567927845864,0.8933143207215414
D0137A_S33,114533,8179486,8294019,0.01380910750264739,0.9861908924973526
D0138A_S34,108897,8441284,8550181,0.012736221607472403,0.9872637783925275
D0142A_S35,652467,6016768,6669235,0.09783236008327792,0.9021676399167221
D0143A_S36,689631,6099653,6789284,0.10157639597931092,0.8984236040206891
D0147A_S37,119805,7944765,8064570,0.014855720763785298,0.9851442792362147
D0148A_S38,93006,7013851,7106857,0.013086797722256125,0.9869132022777439
D0152A_S39,376722,5022972,5399694,0.0697672868129194,0.9302327131870806
D0153A_S40,320479,4549015,4869494,0.06581361430982356,0.9341863856901764
D0158A_S41,355429,8262947,8618376,0.041240832379557356,0.9587591676204427
D0159A_S42,292701,7562735,7855436,0.03726094897851628,0.9627390510214837
D0163A_S43,461559,5994721,6456280,0.07148992918522741,0.9285100708147725
D0164A_S44,487149,6025186,6512335,0.07480404493933436,0.9251959550606657
D0167A_S45,109262,9637136,9746398,0.011210500535685081,0.9887894994643149
D0173A_S46,567698,1597909,2165607,0.26214266946865245,0.7378573305313476
D0174A_S47,715720,2180432,2896152,0.2471279131758278,0.7528720868241722
D0177A_S48,115458,7716821,7832279,0.014741303265626773,0.9852586967343733
D0182A_S49,657667,5309068,5966735,0.11022225723113227,0.8897777427688678
D0187A_S50,358951,5097867,5456818,0.06578027707722706,0.9342197229227729
D0192A_S51,472724,3402061,3874785,0.12200005935813213,0.8779999406418679
D0198A_S52,74623,9300162,9374785,0.007959969215294004,0.992040030784706
D0203A_S53,630213,3215410,3845623,0.16387799844134487,0.8361220015586551
D0208A_S54,85325,6384739,6470064,0.013187659349273824,0.9868123406507262
D0213A_S55,543452,5442273,5985725,0.09079134106561862,0.9092086589343814
D0270A_S56,123610,7382539,7506149,0.01646783190688061,0.9835321680931194
D0271A_S57,200976,8204163,8405139,0.023911085824993496,0.9760889141750065
D0275A_S58,429733,4281668,4711401,0.09121129787084564,0.9087887021291544
D0276A_S59,323193,3596656,3919849,0.08245036989945276,0.9175496301005472
D086A_S14,25754,4456763,4482517,0.005745432755748612,0.9942545672442514
D1030A_S60,317146,5192713,5509859,0.05755973065735439,0.9424402693426456
D1031A_S61,272342,4843818,5116160,0.053231720665499124,0.9467682793345009
