ID,Total Length (bp)
305400.0,45044145.0
748098.0,12130736.0
1807681.0,19048460.0
644823.0,13760921.0
700344.0,50915707.0
216836.0,33250431.0
1034303.0,38325693.0
1392788.0,13240085.0
132184.0,34810611.0
28572.0,28488493.0
2093782.0,38725815.0
390896.0,47745773.0
5507.0,70122855.0
1174670.0,51307981.0
1170579.0,13030186.0
2905939.0,30643944.0
1089532.0,13232120.0
42469.0,11531250.0
48703.0,34562211.0
1580864.0,31125221.0
211097.0,8767711.0
1506549.0,10938851.0
160984.0,80858204.0
2074759.0,30376016.0
749563.0,38362914.0
2972123.0,32136617.0
121624.0,32454403.0
907294.0,10992937.0
312200.0,52424161.0
442469.0,25623555.0
1294629.0,31161740.0
1047171.0,39154874.0
1507867.0,28998252.0
304224.0,10286314.0
27335.0,36468503.0
2862414.0,20192984.0
246069.0,13987900.0
43985.0,23394681.0
45567.0,11463994.0
45552.0,11774680.0
44067.0,14477384.0
1758292.0,27195275.0
5142.0,38544170.0
312343.0,25763109.0
129524.0,36697038.0
2819901.0,33992401.0
2747968.0,72919014.0
60134.0,32867841.0
1230097.0,37570220.0
904709.0,34745808.0
1187951.0,34687354.0
75811.0,62546261.0
1145322.0,27985263.0
43972.0,15634934.0
157291.0,14933539.0
749889.0,34085764.0
5180.0,38957821.0
1548791.0,11321994.0
2720561.0,36995121.0
1304137.0,16982903.0
1095343.0,29585324.0
51453.0,34319199.0
253309.0,41846809.0
45428.0,46286790.0
1079268.0,61760550.0
1565506.0,29514308.0
131113.0,10458685.0
111643.0,39958285.0
254877.0,32903267.0
2752694.0,31596004.0
1949210.0,37523205.0
2606854.0,30958390.0
87230.0,45321145.0
155417.0,87248235.0
267649.0,11196132.0
943250.0,32659670.0
197673.0,11250196.0
5486.0,24170369.0
254901.0,33417373.0
74035.0,23563256.0
2675883.0,39569689.0
1871380.0,31578827.0
1378263.0,9038255.0
48095.0,35741899.0
748119.0,56108228.0
36656.0,31342850.0
749598.0,36211073.0
2528786.0,9366548.0
150208.0,10618550.0
2714763.0,32603708.0
128442.0,36512172.0
110542.0,48274338.0
1111082.0,16440304.0
2656787.0,33639795.0
54193.0,10358046.0
165777.0,39918019.0
255361.0,44633789.0
247546.0,37043505.0
53686.0,13611991.0
324705.0,23804083.0
1150643.0,12519824.0
392261.0,10895606.0
1836197.0,28497861.0
53644.0,12500128.0
148633.0,11368530.0
409207.0,45966240.0
2859418.0,9911024.0
1194607.0,12007881.0
2486360.0,28289675.0
5467.0,57912832.0
2879429.0,12355930.0
56408.0,11458415.0
1463999.0,61289320.0
221167.0,55114896.0
2879425.0,11698706.0
1229178.0,37860306.0
5017.0,32215838.0
176163.0,28016043.0
101162.0,31674030.0
456365.0,13736849.0
1258691.0,13736429.0
53648.0,12054867.0
1586249.0,12294199.0
45571.0,15063191.0
1196081.0,33721883.0
432100.0,14232129.0
2231729.0,55304262.0
1758464.0,29394374.0
203109.0,38653888.0
301713.0,38245005.0
61235.0,39599530.0
27297.0,11106094.0
27323.0,18609414.0
1405422.0,11203679.0
1337065.0,10504644.0
58635.0,9766786.0
1567543.0,48754646.0
42251.0,97184993.0
927244.0,9918755.0
1051617.0,37131911.0
113606.0,11316902.0
1903189.0,65236659.0
139640.0,54683200.0
293381.0,31166888.0
1069076.0,31806378.0
44071.0,18112091.0
246088.0,13548223.0
1548787.0,10605494.0
2201248.0,18384429.0
202914.0,35977835.0
431197.0,37827857.0
1194242.0,37899076.0
5022.0,45986477.0
