ID,Total Length (bp)
3046.0,343704392.0
3088.0,100347600.0
575411.0,19388884.0
1157962.0,66629526.0
2649997.0,57091209.0
36894.0,249414800.0
47281.0,120364444.0
152768.0,85619781.0
498180.0,98484689.0
1764295.0,17400691.0
28458.0,122189241.0
135269.0,327187795.0
63592.0,362171450.0
1650286.0,20738005.0
55410.0,183531687.0
81816.0,60662915.0
31300.0,24204206.0
3078.0,56992954.0
330485.0,136124605.0
3074.0,59187803.0
215448.0,16896228.0
121088.0,151902089.0
51683.0,141916335.0
51714.0,129328469.0
2511175.0,13149938.0
51695.0,129236421.0
2509265.0,24744895.0
1803847.0,20113892.0
2009235.0,14642443.0
39955.0,68170630.0
375941.0,116304009.0
248742.0,40636606.0
554065.0,46159512.0
33097.0,148806073.0
3075.0,22924637.0
38833.0,16973892.0
3047.0,199884031.0
47790.0,135779852.0
3089.0,65353879.0
2816969.0,15395464.0
307507.0,51162697.0
41875.0,15074320.0
53269.0,61726235.0
2710713.0,46806991.0
1973153.0,26448891.0
2991704.0,118650938.0
3077.0,37342230.0
3117.0,87889290.0
77546.0,23358248.0
36881.0,914255959.0
41880.0,22700889.0
70448.0,12916858.0
296587.0,21109336.0
554055.0,61018900.0
133487.0,1728979.0
51707.0,140837241.0
145388.0,69711829.0
216035.0,127668114.0
619706.0,74217270.0
3111.0,27691062.0
1081495.0,157774568.0
35704.0,78504178.0
1144401.0,92872063.0
1737510.0,133065142.0
63659.0,80815439.0
3165.0,227954216.0
38881.0,184381702.0
1127754.0,48907151.0
3075448.0,119241191.0
44745.0,365773732.0
60131.0,55586817.0
3076.0,38807484.0
257627.0,211234559.0
2026947.0,130201002.0
47775.0,103863617.0
1486918.0,13984546.0
3055.0,113900589.0
588714.025974026,105570652.53246753
,8128940245.0
