ID,Total Length (bp)
1672016.0,19201463.0
203904.0,543605392.0
48568.0,94611779.0
180088.0,43780879.0
168509.0,24898183.0
29892.0,43569032.0
253288.0,8264016.0
152947.0,52190645.0
71784.0,19786307.0
1882483.0,20778962.0
48593.0,42341223.0
137743.0,33118568.0
1582974.0,31201167.0
228944.0,36136062.0
2234040.0,51246830.0
5325.0,44783910.0
181874.0,44310526.0
5270.0,19606871.0
249491.0,19606533.0
50990.0,45069463.0
2783875.0,18636001.0
199339.0,19248615.0
2828524.0,69973860.0
160031.0,49366550.0
1821823.0,8186253.0
84603.0,40343159.0
185366.0,20196985.0
153505.0,96680276.0
64368.0,62718798.0
1912939.0,79655913.0
2060934.0,76507182.0
40419.0,51677454.0
64657.0,27944883.0
39966.0,59384214.0
48589.0,53063458.0
1156456.0,40070066.0
36057.0,29517789.0
259368.0,36566397.0
40563.0,22396975.0
143232.0,24947368.0
5414.0,39152147.0
80668.0,45279901.0
1398758.0,33544692.0
47427.0,85336812.0
27350.0,68656445.0
114155.0,36868345.0
1280837.0,17383515.0
5418.0,19020389.0
92696.0,35274896.0
98760.0,38655575.0
168555.0,23617053.0
1738132.0,91122911.0
104405.0,20691908.0
230810.0,501225342.0
82513.0,23647732.0
51221.0,142190777.0
68762.0,40068159.0
81056.0,55457880.0
2031085.0,20766546.0
146781.0,63542048.0
2823264.0,60120426.0
86839.0,18031004.0
2834309.0,48989820.0
76774.0,8169464.0
89926.0,20110400.0
230806.0,118648059.0
139825.0,39020349.0
264083.0,70469476.0
82509.0,42353277.0
201217.0,47309141.0
67723.0,40385187.0
89921.0,19050388.0
230801.0,132253541.0
76773.0,9119358.0
104414.0,24117869.0
64639.0,54833204.0
40442.0,40950972.0
58918.0,27756302.0
1673888.0,27323055.0
68746.0,50413917.0
1647800.0,50858415.0
5364.0,31948515.0
208348.0,121114073.0
242475.0,44530309.0
68788.0,40427314.0
106002.0,26004456.0
1522189.0,24148100.0
82514.0,24510922.0
223818.0,8433779.0
87252.0,44662661.0
13290.0,35802276.0
1890683.0,29888215.0
181776.0,49246253.0
106018.0,22086981.0
2829415.0,55468683.0
2917767.0,33573984.0
262245.0,49118549.0
279009.0,30365629.0
82521.0,24872216.0
152963.0,41450637.0
117174.0,18631063.0
5632.0,37463246.0
123925.0,56651772.0
139420.0,53434618.0
5334.0,39005850.0
1837245.0,55463383.0
29902.0,28651359.0
1837270.0,44824221.0
