Metagenome sample,Phylum,Class,percent_ORFs,ASV sample,COI reads
D0079A,Acantharea,Acantharea,1.2854627022996929e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Annelida,Clitellata,0.0001414008972529,Lasker18Sc124_19_D0079,0.0
D0079A,Annelida,Polychaeta,0.0006812952322188,Lasker18Sc124_19_D0079,0.0001634521085322
D0079A,Apicomplexa,Aconoidasida,0.0008484053835177,Lasker18Sc124_19_D0079,0.0
D0079A,Apicomplexa,Conoidasida,0.0009255331456557,Lasker18Sc124_19_D0079,0.0
D0079A,Apicomplexa,unknown,2.570925404599385e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Apusomonadida,Apusomonadida,0.0002828017945059,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Arachnida,0.0149113673466764,Lasker18Sc124_19_D0079,0.0005720823798627001
D0079A,Arthropoda,Branchiopoda,0.0012211895671847,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Chilopoda,0.0001285462702299,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Collembola,0.0005398943349658,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Hexanauplia,0.0043577185607959,Lasker18Sc124_19_D0079,0.0075187969924811
D0079A,Arthropoda,Ichthyostraca,0.0008484053835177,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Insecta,0.0307482678390086,Lasker18Sc124_19_D0079,0.0017979731938541001
D0079A,Arthropoda,Malacostraca,0.0018125024102425,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Merostomata,0.0001156916432069,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Ostracoda,0.0005656035890118,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,Thecostraca,0.0002956564215289,Lasker18Sc124_19_D0079,0.0
D0079A,Arthropoda,unknown,0.0001285462702299,Lasker18Sc124_19_D0079,0.0007763975155279
D0079A,Ascomycota,Dothideomycetes,0.0035735863123931,Lasker18Sc124_19_D0079,0.0834423014056881
D0079A,Ascomycota,Eurotiomycetes,0.0026866170478063,Lasker18Sc124_19_D0079,8.172605426610003e-05
D0079A,Ascomycota,Lecanoromycetes,0.0001156916432069,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Leotiomycetes,0.0007969868754258,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Neolectomycetes,2.570925404599385e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Orbiliomycetes,6.427313511498464e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Pezizomycetes,0.0003213656755749,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Pneumocystomycetes,0.0001156916432069,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Saccharomycetes,0.0153612792924813,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Schizosaccharomycetes,3.856388106899079e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Sordariomycetes,0.0046790842363708,Lasker18Sc124_19_D0079,0.0001225890813991
D0079A,Ascomycota,Taphrinomycetes,7.712776213798157e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,Xylonomycetes,1.2854627022996929e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Ascomycota,unknown,0.0001799647783219,Lasker18Sc124_19_D0079,0.0
D0079A,Bacillariophyta,Bacillariophyceae,0.0151427506330903,Lasker18Sc124_19_D0079,0.0029421379535795
D0079A,Bacillariophyta,Coscinodiscophyceae,0.012391860450169,Lasker18Sc124_19_D0079,0.0027786858450471502
D0079A,Bacillariophyta,Fragilariophyceae,0.0029951280963582,Lasker18Sc124_19_D0079,8.172605426610003e-05
D0079A,Bacillariophyta,Mediophyceae,0.0100780275860295,Lasker18Sc124_19_D0079,0.00514874141876405
D0079A,Bacillariophyta,unknown,8.99823891609785e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Agaricomycetes,0.0055146349928656,Lasker18Sc124_19_D0079,0.0026969597907811997
D0079A,Basidiomycota,Dacrymycetes,0.0001156916432069,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Exobasidiomycetes,0.0002442379134369,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Malasseziomycetes,8.99823891609785e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Microbotryomycetes,0.0004242026917588,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Mixiomycetes,3.856388106899079e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Pucciniomycetes,0.0004756211998508,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Tremellomycetes,0.0003342203025979,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Ustilaginomycetes,0.0001285462702299,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,Wallemiomycetes,0.0001028370161839,Lasker18Sc124_19_D0079,0.0
D0079A,Basidiomycota,unknown,1.2854627022996929e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Bigyra,Bigyra,0.0072757188950162,Lasker18Sc124_19_D0079,0.00012258908139915005
D0079A,Blastocladiomycota,Blastocladiomycetes,0.0001414008972529,Lasker18Sc124_19_D0079,0.0
D0079A,Bolidophyceae,Bolidophyceae,0.0105407941588574,Lasker18Sc124_19_D0079,0.0
D0079A,Brachiopoda,Lingulata,0.0001799647783219,Lasker18Sc124_19_D0079,0.0
D0079A,Breviatea,Breviatea,1.2854627022996929e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Bryozoa,Gymnolaemata,0.0002056740323679,Lasker18Sc124_19_D0079,0.0
D0079A,Centroplasthelida,Centroplasthelida,0.0003470749296209,Lasker18Sc124_19_D0079,0.0
D0079A,Cercozoa,Chlorarachniophyceae,0.004023498258198,Lasker18Sc124_19_D0079,0.0
D0079A,Cercozoa,Imbricatea,7.712776213798157e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Cercozoa,Thecofilosea,1.2854627022996929e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Chlorophyta,Chlorodendrophyceae,0.0017867931561965,Lasker18Sc124_19_D0079,0.0
D0079A,Chlorophyta,Chlorophyceae,0.0045633925931639,Lasker18Sc124_19_D0079,0.0
D0079A,Chlorophyta,Chloropicophyceae,0.0019796125615415,Lasker18Sc124_19_D0079,0.00024517816279825006
D0079A,Chlorophyta,Mamiellophyceae,0.1690769092334786,Lasker18Sc124_19_D0079,0.032567832625040496
D0079A,Chlorophyta,Nephroselmidophyceae,3.856388106899079e-05,Lasker18Sc124_19_D0079,0.0
D0079A,Chlorophyta,Palmophyllophyceae,1.2854627022996929e-05,Lasker18Sc124_19_D0079,0.0
