Metagenome sample,Class,count,ASV sample,18S reads
1903c122_5m-2,Aconoidasida,0.0013343943196425293,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Actinopteri,0.023097597756347833,CN19_Nisk_PB_Day_5m_2,3.3316674995835414e-05
1903c122_5m-2,Agaricomycetes,0.011639502078383147,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Anthozoa,0.013275498450255137,CN19_Nisk_PB_Day_5m_2,1.6658337497917707e-05
1903c122_5m-2,Appendicularia,0.001563656396244999,CN19_Nisk_PB_Day_5m_2,0.010228219223721472
1903c122_5m-2,Ascetosporea,1.1129227019537359e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Ascidiacea,0.0013093535588485701,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Asteroidea,0.0021863366479881138,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Bacillariophyceae,0.029943185296065263,CN19_Nisk_PB_Day_5m_2,0.002665333999666834
1903c122_5m-2,Bangiophyceae,0.0027511449192296348,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Basidiobolomycetes,0.00038451479352501574,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Bigyra,0.005704285308863873,CN19_Nisk_PB_Day_5m_2,0.0029651840746293527
1903c122_5m-2,Bivalvia,0.011566049180054199,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Bolidophyceae,4.0621678621311356e-05,CN19_Nisk_PB_Day_5m_2,0.0010827919373646512
1903c122_5m-2,Calcarea,4.451690807814943e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Centroplasthelida,2.7823067548843394e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Cephalopoda,0.001150762073820163,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Chlorarachniophyceae,5.008152158791811e-05,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Chlorodendrophyceae,4.785567618401064e-05,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Chlorophyceae,0.0413929340537653,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Chloropicophyceae,0.0027266606197866527,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Choanoflagellata,0.0022692493892836675,CN19_Nisk_PB_Day_5m_2,0.0012826919873396637
1903c122_5m-2,Chrysophyceae,2.615368349591279e-05,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Chytridiomycetes,0.0033426633353180455,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Conoidasida,0.0038356880922835505,CN19_Nisk_PB_Day_5m_2,1.6658337497917707e-05
1903c122_5m-2,Coscinodiscophyceae,0.009335752085338912,CN19_Nisk_PB_Day_5m_2,0.0024487756121939035
1903c122_5m-2,Crinoidea,0.0007222868335679746,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Cryptophyceae,0.005221276856215952,CN19_Nisk_PB_Day_5m_2,0.009411960686323507
1903c122_5m-2,Demospongiae,0.000808538342969389,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Dictyochophyceae,0.00019810024094776499,CN19_Nisk_PB_Day_5m_2,0.001549225387306347
1903c122_5m-2,Dinophyceae,0.19169258849126633,CN19_Nisk_PB_Day_5m_2,0.11447609528569028
1903c122_5m-2,Dothideomycetes,0.004620855058511911,CN19_Nisk_PB_Day_5m_2,1.6658337497917707e-05
1903c122_5m-2,Echinoidea,0.002156287735035363,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Elardia,1.0016304317583621e-05,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Enteropneusta,0.0007089317611445297,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Eurotatoria,0.010465925089172932,CN19_Nisk_PB_Day_5m_2,1.6658337497917707e-05
1903c122_5m-2,Eurotiomycetes,0.004108910615613193,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Eustigmatophyceae,0.004729921483303377,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Exobasidiomycetes,0.0008903381615629886,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Filasterea,0.0006449387057821899,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Flabellinia,5.008152158791811e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Florideophyceae,0.002528560378838888,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Fragilariophyceae,0.00010294534993072056,CN19_Nisk_PB_Day_5m_2,0.000283191737464601
1903c122_5m-2,Gastropoda,0.006462185668894367,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Glomeromycetes,0.0027222089289788377,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Gymnolaemata,0.00024484299442982185,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Hexanauplia,0.007831637053648439,CN19_Nisk_PB_Day_5m_2,0.6325170747959354
1903c122_5m-2,Holothuroidea,0.0012292231243079012,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Hydrozoa,0.0007128269906013678,CN19_Nisk_PB_Day_5m_2,0.005547226386806597
1903c122_5m-2,Ichthyosporea,0.0006761005414368945,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Klebsormidiophyceae,0.003378833323131542,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Lecanoromycetes,0.0002392783809200532,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Litostomatea,5.008152158791811e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Magnoliopsida,0.11438842115220887,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Malacostraca,0.005266906686996055,CN19_Nisk_PB_Day_5m_2,0.00016658337497917706
1903c122_5m-2,Malasseziomycetes,0.00024039130362200694,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Mamiellophyceae,0.07484572109044166,CN19_Nisk_PB_Day_5m_2,0.0023821422622022324
1903c122_5m-2,Mammalia,0.011121993021974658,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Mediophyceae,0.0002081165452653486,CN19_Nisk_PB_Day_5m_2,0.0004664334499416958
1903c122_5m-2,Microbotryomycetes,0.0009877188979839405,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Mortierellomycetes,0.006039831503502924,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Myxozoa,0.00011630042235416539,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Nephroselmidophyceae,8.625150940141452e-05,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Nuda,5.564613509768679e-07,CN19_Nisk_PB_Day_5m_2,6.663334999167083e-05
1903c122_5m-2,Oligohymenophorea,0.004265276255237692,CN19_Nisk_PB_Day_5m_2,9.995002498750625e-05
1903c122_5m-2,Ophiuroidea,1.1129227019537359e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Pedinophyceae,2.893599025079713e-05,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Pelagophyceae,0.01150372550874479,CN19_Nisk_PB_Day_5m_2,0.0002665333999666833
1903c122_5m-2,Pezizomycetes,0.0008352484878162787,CN19_Nisk_PB_Day_5m_2,0.0
1903c122_5m-2,Phaeophyceae,0.008381420868413585,CN19_Nisk_PB_Day_5m_2,0.0
